,name,lng,lat,oficina_principal,totalOffices,category_code,number_of_employees,founded_year,total_money_raised,ciudad
1225,Southern Growth Studio,-89.533614,34.353087,"{'type': 'Point', 'coordinates': [-89.533614, 34.353087]}",1,other,8,2007.0,0.0,Oxford
1226,ClearMyMail,-0.683458,52.4910435,"{'type': 'Point', 'coordinates': [-0.683458, 52.4910435]}",1,public_relations,5,2006.0,150000.0,Corby
1227,GreenNote,-122.227765,37.492685,"{'type': 'Point', 'coordinates': [-122.227765, 37.492685]}",1,web,65,2007.0,4200000.0,Mather
1228,Kooky Plan,-80.131287,25.896634,"{'type': 'Point', 'coordinates': [-80.131287, 25.896634]}",1,public_relations,1,2007.0,0.0,Miami
1229,postica,-79.31364,43.67736,"{'type': 'Point', 'coordinates': [-79.31364, 43.67736]}",1,software,1,2007.0,0.0,Toronto
1230,TRUSTe,-122.4005576,37.7886685,"{'type': 'Point', 'coordinates': [-122.4005576, 37.7886685]}",1,enterprise,130,1997.0,37000000.0,San Francisco
1231,Neo Code Software,-123.105347,49.280665,"{'type': 'Point', 'coordinates': [-123.105347, 49.280665]}",1,software,10,2002.0,0.0,Vancouver
1232,Fabric Interactive,-118.288536,34.0748,"{'type': 'Point', 'coordinates': [-118.288536, 34.0748]}",1,consulting,10,2001.0,0.0,Los Angeles
1233,The Television Writers Vault,-116.995957,33.228284,"{'type': 'Point', 'coordinates': [-116.995957, 33.228284]}",1,games_video,3,2005.0,0.0,San Diego
1234,RMW Web Publishing,149.574258,-33.41978,"{'type': 'Point', 'coordinates': [149.574258, -33.41978]}",1,web,2,2000.0,0.0,Bathurst
1235,gate5,13.411494,52.52348,"{'type': 'Point', 'coordinates': [13.411494, 52.52348]}",1,mobile,40,1999.0,12977749.999604827,Berlin
1236,Blogpire Productions,-71.182488,42.417283,"{'type': 'Point', 'coordinates': [-71.182488, 42.417283]}",1,other,25,2004.0,0.0,Arlington
1237,FliteHaus Creative Agency,-81.366414,28.544123,"{'type': 'Point', 'coordinates': [-81.366414, 28.544123]}",1,advertising,4,1994.0,0.0,Oviedo
1238,eduFire,-122.3957917,37.7764671,"{'type': 'Point', 'coordinates': [-122.3957917, 37.7764671]}",1,education,5,,1700000.0,Chandler
1239,Jambool,-122.389519,37.782101,"{'type': 'Point', 'coordinates': [-122.389519, 37.782101]}",1,finance,25,2006.0,6000000.0,San Francisco
1240,zebraspot design,-80.261776,43.540164,"{'type': 'Point', 'coordinates': [-80.261776, 43.540164]}",1,network_hosting,2,2004.0,0.0,Guelph
1241,FanDriveMedia,-84.339506,33.861093,"{'type': 'Point', 'coordinates': [-84.339506, 33.861093]}",1,mobile,10,2005.0,0.0,Atlanta
1242,VendorCity,-71.170434,42.892015,"{'type': 'Point', 'coordinates': [-71.170434, 42.892015]}",1,enterprise,3,2008.0,0.0,Hampstead
1243,Elevator Up,-86.023846,42.813865,"{'type': 'Point', 'coordinates': [-86.023846, 42.813865]}",1,consulting,4,2004.0,0.0,Zeeland
1244,Versaly Entertainment,-122.205149,47.626479,"{'type': 'Point', 'coordinates': [-122.205149, 47.626479]}",1,mobile,15,2000.0,0.0,Bellevue
1245,DisputeSuite,-82.728466,28.262756,"{'type': 'Point', 'coordinates': [-82.728466, 28.262756]}",1,software,11,2006.0,0.0,New Port Richey
1246,BrandDoozie,-117.73424,33.647105,"{'type': 'Point', 'coordinates': [-117.73424, 33.647105]}",1,software,20,2006.0,0.0,Irvine
1247,Pinch Media,-73.985506,40.757929,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1,software,6,2008.0,560000.0,New York
1248,Plurk,-79.603622,43.657979,"{'type': 'Point', 'coordinates': [-79.603622, 43.657979]}",1,web,7,2008.0,0.0,Mississauga
1249,MicroGiving,-80.057157,26.527099,"{'type': 'Point', 'coordinates': [-80.057157, 26.527099]}",1,web,5,2007.0,0.0,Boyton Beach
1250,TNR Global,-72.6003,42.5878,"{'type': 'Point', 'coordinates': [-72.6003, 42.5878]}",1,enterprise,10,2004.0,0.0,Greenfield
1251,Capital Window,-117.243469,33.201602,"{'type': 'Point', 'coordinates': [-117.243469, 33.201602]}",1,other,6,2006.0,0.0,Vista
1252,Hive7,-122.151198,37.44296,"{'type': 'Point', 'coordinates': [-122.151198, 37.44296]}",1,games_video,5,2006.0,0.0,Palo Alto
1253,PRunderground,-73.614577,41.395013,"{'type': 'Point', 'coordinates': [-73.614577, 41.395013]}",1,public_relations,12,2008.0,0.0,Brewster
1254,Manam Infotech,77.653739,12.975531,"{'type': 'Point', 'coordinates': [77.653739, 12.975531]}",1,software,20,2008.0,0.0,Bangalore
1255,VMware,-122.145981,37.403315,"{'type': 'Point', 'coordinates': [-122.145981, 37.403315]}",1,software,13500,1998.0,369000000.0,Palo Alto
1256,Camp BizSmart,-121.9738,37.2264,"{'type': 'Point', 'coordinates': [-121.9738, 37.2264]}",1,other,4,2007.0,0.0,Los Gatos
1257,Ucareer,-97.763987,30.275261,"{'type': 'Point', 'coordinates': [-97.763987, 30.275261]}",1,web,6,2008.0,0.0,Austin
1258,Outalot,-83.077186,42.340507,"{'type': 'Point', 'coordinates': [-83.077186, 42.340507]}",1,mobile,2,2007.0,0.0,Brooklyn
1259,NeuroVigil,-117.274609,32.847521,"{'type': 'Point', 'coordinates': [-117.274609, 32.847521]}",1,biotech,5,2007.0,250000.0,La Jolla
1260,LaterLoop,13.434717,52.521066,"{'type': 'Point', 'coordinates': [13.434717, 52.521066]}",1,mobile,1,,0.0,Berlin
1261,DormTrader,-87.66831,42.010632,"{'type': 'Point', 'coordinates': [-87.66831, 42.010632]}",1,web,1,2008.0,0.0,Chicago
1262,MESOMOCO,-0.469586,54.211373,"{'type': 'Point', 'coordinates': [-0.469586, 54.211373]}",1,web,4,2008.0,0.0,Scarborough
1263,Cubic Lime,103.82392,1.280574,"{'type': 'Point', 'coordinates': [103.82392, 1.280574]}",1,enterprise,10,2007.0,0.0,Singapore
1264,Interpolls,-118.25957,34.048573,"{'type': 'Point', 'coordinates': [-118.25957, 34.048573]}",2,,15,1999.0,0.0,Los Angeles
1265,Sazell,-0.126236,51.500152,"{'type': 'Point', 'coordinates': [-0.126236, 51.500152]}",1,web,2,2008.0,0.0,London
1266,Docoloco,145.001001,-37.79249,"{'type': 'Point', 'coordinates': [145.001001, -37.79249]}",1,web,2,2007.0,0.0,Clifton Hill
1267,Thinkwell,-97.73151,30.265557,"{'type': 'Point', 'coordinates': [-97.73151, 30.265557]}",1,software,30,1999.0,0.0,Austin
1268,Lookeen,8.407167,49.009455,"{'type': 'Point', 'coordinates': [8.407167, 49.009455]}",1,search,20,2003.0,0.0,Karlsruhe
1269,No Star Clothing,-122.626386,45.53467,"{'type': 'Point', 'coordinates': [-122.626386, 45.53467]}",1,other,4,2000.0,0.0,Portland
1270,Wazzala,-95.712891,37.09024,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",1,web,1,2008.0,0.0,
1271,earth album,-71.239247,42.389781,"{'type': 'Point', 'coordinates': [-71.239247, 42.389781]}",1,web,1,2006.0,0.0,Waltham
1272,Realore Studios,23.881275,55.169438,"{'type': 'Point', 'coordinates': [23.881275, 55.169438]}",1,software,30,,0.0,
1273,Orbster,8.4102781,49.0092558,"{'type': 'Point', 'coordinates': [8.4102781, 49.0092558]}",1,mobile,8,2008.0,564249.9999828186,Bangalore
1274,Medallia,-122.1797053,37.4520239,"{'type': 'Point', 'coordinates': [-122.1797053, 37.4520239]}",1,software,140,2002.0,55000000.0,Palo Alto
1275,ShopIt,-118.46643,34.05304,"{'type': 'Point', 'coordinates': [-118.46643, 34.05304]}",1,ecommerce,18,,28212.499999140928,Los Angeles
1276,NitroDesk,-122.132013,47.584975,"{'type': 'Point', 'coordinates': [-122.132013, 47.584975]}",1,software,8,2008.0,0.0,Bellevue
1277,Avaya,-121.977333,37.398076,"{'type': 'Point', 'coordinates': [-121.977333, 37.398076]}",2,software,18000,2000.0,0.0,Santa Clara
1278,Monkiri,73.83237,18.569305,"{'type': 'Point', 'coordinates': [73.83237, 18.569305]}",1,public_relations,6,2008.0,0.0,Pune
1279,SightWorks,-122.675838,45.484413,"{'type': 'Point', 'coordinates': [-122.675838, 45.484413]}",1,advertising,11,1997.0,0.0,Portland
1280,ArtFlock,-1.5357872,52.2919851,"{'type': 'Point', 'coordinates': [-1.5357872, 52.2919851]}",1,web,1,2007.0,0.0,Leamington Spa
1281,Vindicia,-122.252115,37.538418,"{'type': 'Point', 'coordinates': [-122.252115, 37.538418]}",1,analytics,100,2003.0,37600000.0,Belmont
1282,VECTOR,18.455176,54.457973,"{'type': 'Point', 'coordinates': [18.455176, 54.457973]}",1,hardware,400,1988.0,0.0,Gdynia
1283,SurveyGizmo,-105.227764,40.031015,"{'type': 'Point', 'coordinates': [-105.227764, 40.031015]}",1,software,47,2006.0,0.0,Boulder
1284,Crowd Science,-122.087471,37.419041,"{'type': 'Point', 'coordinates': [-122.087471, 37.419041]}",2,web,25,2007.0,2000000.0,San Jose
1285,Coolboysoft,-106.346771,56.130366,"{'type': 'Point', 'coordinates': [-106.346771, 56.130366]}",1,software,4,2007.0,0.0,
1286,Cosential,-97.74129,30.264254,"{'type': 'Point', 'coordinates': [-97.74129, 30.264254]}",1,software,40,1997.0,250000.0,Austin
1287,Limbo,-122.343679,37.580304,"{'type': 'Point', 'coordinates': [-122.343679, 37.580304]}",1,mobile,30,2005.0,27100000.0,Burlingame
1288,BrandYourself,-71.24762,42.275263,"{'type': 'Point', 'coordinates': [-71.24762, 42.275263]}",1,web,22,2009.0,1500000.0,New York
1289,Plentitube,-73.978733,40.749277,"{'type': 'Point', 'coordinates': [-73.978733, 40.749277]}",1,ecommerce,5,2008.0,0.0,New York
1290,Freeverse,-73.990681,40.702847,"{'type': 'Point', 'coordinates': [-73.990681, 40.702847]}",1,software,18,1994.0,0.0,Brooklyn
1291,TickerHound,-73.991924,40.728623,"{'type': 'Point', 'coordinates': [-73.991924, 40.728623]}",1,web,3,2007.0,0.0,New York
1292,Addoursearch,-92.201418,46.848954,"{'type': 'Point', 'coordinates': [-92.201418, 46.848954]}",1,search,1,2008.0,0.0,Duluth
1293,LyricFind,-79.3995384,43.7123092,"{'type': 'Point', 'coordinates': [-79.3995384, 43.7123092]}",1,games_video,15,2005.0,0.0,Toronto
1294,Strateer,-74.007072,40.714521,"{'type': 'Point', 'coordinates': [-74.007072, 40.714521]}",1,web,2,2008.0,0.0,New York
1295,WRLDs,-122.344948,47.739569,"{'type': 'Point', 'coordinates': [-122.344948, 47.739569]}",1,other,1,2007.0,0.0,Seattle
1296,Ladies Who Launch,-73.991512,40.753877,"{'type': 'Point', 'coordinates': [-73.991512, 40.753877]}",1,public_relations,12,2008.0,0.0,New York
1297,AFrame Digital,-77.220779,38.875876,"{'type': 'Point', 'coordinates': [-77.220779, 38.875876]}",1,software,10,2005.0,0.0,Reston
1298,ArcStone Technologies,-93.279911,44.962697,"{'type': 'Point', 'coordinates': [-93.279911, 44.962697]}",1,public_relations,20,1997.0,0.0,Minneapolis
1299,StreamFocus,-122.3978,37.78594,"{'type': 'Point', 'coordinates': [-122.3978, 37.78594]}",1,public_relations,2,2006.0,0.0,Atlanta
1300,Technology Evaluation Centers,-73.559631,45.499215,"{'type': 'Point', 'coordinates': [-73.559631, 45.499215]}",1,enterprise,150,1993.0,0.0,Montreal
1301,CollegeConvo,-74.294395,40.650291,"{'type': 'Point', 'coordinates': [-74.294395, 40.650291]}",1,web,2,2010.0,0.0,Van Nuys
1302,iPlaceBook,-115.246776,36.233048,"{'type': 'Point', 'coordinates': [-115.246776, 36.233048]}",1,web,1,2008.0,0.0,Las Vegas
1303,CGI Group,-73.5721802,45.496397,"{'type': 'Point', 'coordinates': [-73.5721802, 45.496397]}",1,consulting,72000,1976.0,0.0,Montreal
1304,StartForce,-122.420903,37.796164,"{'type': 'Point', 'coordinates': [-122.420903, 37.796164]}",1,web,21,2006.0,6000000.0,San Francisco
1305,Mobile Rider,-111.887733,40.739109,"{'type': 'Point', 'coordinates': [-111.887733, 40.739109]}",1,software,9,2005.0,0.0,Salt Lake City
1306,CareerNet,77.550798,12.924908,"{'type': 'Point', 'coordinates': [77.550798, 12.924908]}",1,software,300,,0.0,Bangalore
1307,Intelliworks,-77.181307,39.116333,"{'type': 'Point', 'coordinates': [-77.181307, 39.116333]}",1,enterprise,30,2004.0,24000000.0,Bethesda
1308,iCall,-73.6271196,41.026439,"{'type': 'Point', 'coordinates': [-73.6271196, 41.026439]}",1,mobile,22,2006.0,0.0,Dallas
1309,Nexnet,-84.084137,35.921428,"{'type': 'Point', 'coordinates': [-84.084137, 35.921428]}",1,software,6,2007.0,0.0,Knoxville
1310,Yakabod,-77.410931,39.414226,"{'type': 'Point', 'coordinates': [-77.410931, 39.414226]}",1,software,20,,0.0,Frederick
1311,iePlexus,-122.295697,47.810914,"{'type': 'Point', 'coordinates': [-122.295697, 47.810914]}",2,advertising,30,2005.0,0.0,Lynnwood
1312,Jungle Jam Tv,11.349231,44.494446,"{'type': 'Point', 'coordinates': [11.349231, 44.494446]}",1,games_video,1,2006.0,0.0,Bologna
1313,SpaBoom,-106.646185,35.086388,"{'type': 'Point', 'coordinates': [-106.646185, 35.086388]}",1,ecommerce,12,2005.0,1300000.0,Albuquerque
1314,Capterra,-77.087792,38.888308,"{'type': 'Point', 'coordinates': [-77.087792, 38.888308]}",1,search,12,1999.0,0.0,Arlington
1315,Phonerental,-117.211471,32.74444,"{'type': 'Point', 'coordinates': [-117.211471, 32.74444]}",1,mobile,54,2001.0,0.0,San Diego
1316,Investor Avenue,-105.041622,39.911683,"{'type': 'Point', 'coordinates': [-105.041622, 39.911683]}",1,public_relations,3,2007.0,0.0,Westminster
1317,Restyleme,-121.267626,38.692609,"{'type': 'Point', 'coordinates': [-121.267626, 38.692609]}",1,web,2,2008.0,0.0,Citrus Heights
1318,Openfilm,-80.166155,25.887462,"{'type': 'Point', 'coordinates': [-80.166155, 25.887462]}",1,games_video,35,2007.0,0.0,Miami
1319,uCubd,-118.530535,34.152678,"{'type': 'Point', 'coordinates': [-118.530535, 34.152678]}",1,web,4,2006.0,0.0,Tarzana
1320,Yield Software,-122.302654,37.558245,"{'type': 'Point', 'coordinates': [-122.302654, 37.558245]}",1,advertising,13,2007.0,6000000.0,San Mateo
1321,CultureMob,-122.33501,47.603357,"{'type': 'Point', 'coordinates': [-122.33501, 47.603357]}",1,web,2,2007.0,0.0,Seattle
1322,MyGreat,7.034349,51.211052,"{'type': 'Point', 'coordinates': [7.034349, 51.211052]}",1,web,3,2006.0,0.0,Haan
1323,SquareClock,2.2860418,48.9064804,"{'type': 'Point', 'coordinates': [2.2860418, 48.9064804]}",1,web,10,2007.0,1250000.0,Asnieres sur seine
1324,simple season,-118.255804,34.039585,"{'type': 'Point', 'coordinates': [-118.255804, 34.039585]}",1,web,5,2006.0,0.0,Los Angeles
1325,Pivot,-71.078978,42.364367,"{'type': 'Point', 'coordinates': [-71.078978, 42.364367]}",1,software,40,2004.0,13100000.0,Cambridge
1326,XRackPro,-118.33433,33.827405,"{'type': 'Point', 'coordinates': [-118.33433, 33.827405]}",1,hardware,13,2005.0,0.0,Torrance
1327,mindSHIFT Technologies,-71.207055,42.38532,"{'type': 'Point', 'coordinates': [-71.207055, 42.38532]}",1,enterprise,380,1999.0,19100000.0,Waltham
1328,Solomodels,-111.8985,33.5093,"{'type': 'Point', 'coordinates': [-111.8985, 33.5093]}",1,network_hosting,2,2004.0,0.0,Scottsdale
1329,PerfectBusiness,-118.456709,33.995974,"{'type': 'Point', 'coordinates': [-118.456709, 33.995974]}",1,web,10,2008.0,0.0,Venice
1330,Estilook,-46.638818,-23.548943,"{'type': 'Point', 'coordinates': [-46.638818, -23.548943]}",1,web,3,2008.0,0.0,Sao Paulo
1331,Brainware,-77.464018,39.0601,"{'type': 'Point', 'coordinates': [-77.464018, 39.0601]}",1,software,65,2006.0,0.0,Ashburn
1332,Wilogo,4.580496,45.509034,"{'type': 'Point', 'coordinates': [4.580496, 45.509034]}",1,web,0,2006.0,0.0,Saint Chamond
1333,BikerOrNot,-82.639902,27.771455,"{'type': 'Point', 'coordinates': [-82.639902, 27.771455]}",1,network_hosting,8,2007.0,0.0,Saint Petersburg
1334,hiogi,13.397398,52.529762,"{'type': 'Point', 'coordinates': [13.397398, 52.529762]}",1,mobile,5,2007.0,112849.99999656371,Berlin
1335,Jalbum,18.08897,59.335897,"{'type': 'Point', 'coordinates': [18.08897, 59.335897]}",1,software,9,2006.0,0.0,Stockholm
1336,Cyber Technology,-82.995226,39.956101,"{'type': 'Point', 'coordinates': [-82.995226, 39.956101]}",1,advertising,25,2004.0,0.0,Columbus
1337,K9Poker,-97.7428,30.2669,"{'type': 'Point', 'coordinates': [-97.7428, 30.2669]}",1,other,2,2004.0,0.0,Austin
1338,ScreenScape Networks,-63.127845,46.234315,"{'type': 'Point', 'coordinates': [-63.127845, 46.234315]}",1,advertising,29,2007.0,4000000.0,Charlottetown
1339,RedPost,-85.8329972,41.5849122,"{'type': 'Point', 'coordinates': [-85.8329972, 41.5849122]}",2,software,5,2007.0,0.0,Goshen
1340,Infusionsoft,-111.8871813,33.2871748,"{'type': 'Point', 'coordinates': [-111.8871813, 33.2871748]}",1,software,350,2001.0,72900000.0,Chandler
1341,Tapulous,-122.161018,37.444332,"{'type': 'Point', 'coordinates': [-122.161018, 37.444332]}",1,mobile,15,2008.0,2800000.0,Palo Alto
1342,Oronjo,4.917203,52.370331,"{'type': 'Point', 'coordinates': [4.917203, 52.370331]}",1,web,4,2007.0,0.0,Amsterdam
1343,be2,8.093765,51.578714,"{'type': 'Point', 'coordinates': [8.093765, 51.578714]}",1,web,2,2004.0,25616949.99921996,Munich
1344,Bertelsmann,8.4200321,51.9098205,"{'type': 'Point', 'coordinates': [8.4200321, 51.9098205]}",1,other,100000,1835.0,0.0,Gütersloh
1345,zanox,13.446834,52.502642,"{'type': 'Point', 'coordinates': [13.446834, 52.502642]}",1,web,600,2000.0,0.0,Berlin
1346,Ziki,-73.9932793,40.733276,"{'type': 'Point', 'coordinates': [-73.9932793, 40.733276]}",1,web,8,2006.0,0.0,New York
1347,GlobalSCAPE,-98.570189,29.584017,"{'type': 'Point', 'coordinates': [-98.570189, 29.584017]}",1,software,75,1996.0,0.0,San Antonio
1348,Practice Fusion,-122.392725,37.7886717,"{'type': 'Point', 'coordinates': [-122.392725, 37.7886717]}",1,health,280,2005.0,155000000.0,San Francisco
1349,FundraisingIP,-118.5393,34.2007,"{'type': 'Point', 'coordinates': [-118.5393, 34.2007]}",1,other,2,2007.0,0.0,Santa Clarita
1350,Sivoo,-75.145654,39.948587,"{'type': 'Point', 'coordinates': [-75.145654, 39.948587]}",1,games_video,8,,0.0,Philadelphia
1351,Tipo,34.851612,31.046051,"{'type': 'Point', 'coordinates': [34.851612, 31.046051]}",1,web,15,2003.0,0.0,
1352,Nimbit,-71.424992,42.272486,"{'type': 'Point', 'coordinates': [-71.424992, 42.272486]}",1,music,20,2004.0,5430000.0,Framingham
1353,Jobirn,-121.9235529,37.3709977,"{'type': 'Point', 'coordinates': [-121.9235529, 37.3709977]}",1,web,8,2007.0,0.0,Sunnyvale
1354,RRD USA,-73.984606,40.748342,"{'type': 'Point', 'coordinates': [-73.984606, 40.748342]}",1,mobile,60,2004.0,0.0,New York
1355,Twitpic,-79.9208632,32.8537777,"{'type': 'Point', 'coordinates': [-79.9208632, 32.8537777]}",1,other,17,2008.0,0.0,Charleston
1356,Attention Span Media,-118.343648,34.06226,"{'type': 'Point', 'coordinates': [-118.343648, 34.06226]}",1,other,7,2007.0,0.0,Los Angeles
1357,Faneebo,-117.249376,33.921969,"{'type': 'Point', 'coordinates': [-117.249376, 33.921969]}",1,games_video,1,2008.0,0.0,Moreno Valley
1358,mokono,13.420817,52.500888,"{'type': 'Point', 'coordinates': [13.420817, 52.500888]}",1,advertising,15,2006.0,0.0,Berlin
1359,Storagepipe,-79.3990795,43.6870156,"{'type': 'Point', 'coordinates': [-79.3990795, 43.6870156]}",1,network_hosting,20,2001.0,0.0,Toronto
1360,Passitto,-105.278025,40.01831,"{'type': 'Point', 'coordinates': [-105.278025, 40.01831]}",1,web,3,2008.0,0.0,Boulder
1361,Firefly Energy,-89.571813,40.76652,"{'type': 'Point', 'coordinates': [-89.571813, 40.76652]}",1,cleantech,40,2003.0,31000000.0,Peoria
1362,Flow TV,-73.981829,40.741557,"{'type': 'Point', 'coordinates': [-73.981829, 40.741557]}",1,other,5,,0.0,New York
1363,Tom's Hardware,2.236516,48.88058,"{'type': 'Point', 'coordinates': [2.236516, 48.88058]}",2,hardware,200,1995.0,0.0,Suresnes
1364,Bestofmedia Group,2.2246339,48.8704095,"{'type': 'Point', 'coordinates': [2.2246339, 48.8704095]}",2,news,200,2000.0,38900000.0,Suresnes
1365,Gameloft,-73.991034,40.744034,"{'type': 'Point', 'coordinates': [-73.991034, 40.744034]}",1,mobile,4000,1999.0,0.0,New York
1366,Carfeine,-77.026676,38.989124,"{'type': 'Point', 'coordinates': [-77.026676, 38.989124]}",1,software,5,2012.0,0.0,Bethesda
1367,Scintella Solutions,-84.3776399,33.7790286,"{'type': 'Point', 'coordinates': [-84.3776399, 33.7790286]}",1,enterprise,2,2008.0,10000.0,Atlanta
1368,EpikOne,-73.124793,44.463844,"{'type': 'Point', 'coordinates': [-73.124793, 44.463844]}",1,consulting,20,2004.0,0.0,Williston
1369,AttendEase,-123.106786,49.283957,"{'type': 'Point', 'coordinates': [-123.106786, 49.283957]}",1,web,8,2004.0,0.0,Vancouver
1370,zintin,-122.199368,37.422876,"{'type': 'Point', 'coordinates': [-122.199368, 37.422876]}",1,mobile,3,2007.0,0.0,Menlo Park
1371,TrademarkFly,-121.498894,38.513839,"{'type': 'Point', 'coordinates': [-121.498894, 38.513839]}",1,enterprise,5,2008.0,55000.0,Sacramento
1372,Ziipa,-80.229012,26.708395,"{'type': 'Point', 'coordinates': [-80.229012, 26.708395]}",1,ecommerce,2,2008.0,0.0,West Palm Beach
1373,Zenoss,-76.503171,38.97639,"{'type': 'Point', 'coordinates': [-76.503171, 38.97639]}",2,software,40,2005.0,45600000.0,Annapolis
1374,Ziippi,-122.1612868,37.4440981,"{'type': 'Point', 'coordinates': [-122.1612868, 37.4440981]}",1,web,6,2011.0,0.0,Palo Alto
1375,CrimeReports,-111.858835,40.726342,"{'type': 'Point', 'coordinates': [-111.858835, 40.726342]}",1,web,22,2007.0,7200000.0,Salt Lake City
1376,Pink Banana Media,-118.367701,34.091073,"{'type': 'Point', 'coordinates': [-118.367701, 34.091073]}",1,consulting,2,2008.0,0.0,West Hollywood
1377,CyberCoders,-117.754807,33.666486,"{'type': 'Point', 'coordinates': [-117.754807, 33.666486]}",1,other,250,1999.0,0.0,Irvine
1378,Pervasive Software,-97.741937,30.428372,"{'type': 'Point', 'coordinates': [-97.741937, 30.428372]}",1,software,214,,0.0,Austin
1379,Dreamsoft Technologies,-2.15871,53.616352,"{'type': 'Point', 'coordinates': [-2.15871, 53.616352]}",1,software,6,2007.0,100000.0,
1380,WatchDoit,-119.709092,36.811069,"{'type': 'Point', 'coordinates': [-119.709092, 36.811069]}",1,other,4,2007.0,0.0,Clovis
1381,Titan Gaming,-113.515769,53.544711,"{'type': 'Point', 'coordinates': [-113.515769, 53.544711]}",1,games_video,18,2010.0,1000000.0,Santa Monica
1382,939 Design,-0.439392,53.725204,"{'type': 'Point', 'coordinates': [-0.439392, 53.725204]}",1,web,2,2006.0,0.0,East Yorkshire
1383,SocialBang,-0.2999236,51.4637732,"{'type': 'Point', 'coordinates': [-0.2999236, 51.4637732]}",1,network_hosting,3,2005.0,0.0,Richmond-upon-Thames
1384,Syntac Ventures,144.970823,-37.813339,"{'type': 'Point', 'coordinates': [144.970823, -37.813339]}",1,software,5,2007.0,0.0,Melbourne
1385,gAuto,-111.923849,33.533027,"{'type': 'Point', 'coordinates': [-111.923849, 33.533027]}",1,ecommerce,3,2008.0,350000.0,Scottsdale
1386,Bizroof,-122.418829,37.781249,"{'type': 'Point', 'coordinates': [-122.418829, 37.781249]}",1,enterprise,8,2008.0,0.0,San Francisco
1387,Optaros,-71.058185,42.356812,"{'type': 'Point', 'coordinates': [-71.058185, 42.356812]}",1,consulting,200,2004.0,38500000.0,Boston
1388,iPling,-122.402859,37.791391,"{'type': 'Point', 'coordinates': [-122.402859, 37.791391]}",1,mobile,7,2007.0,700000.0,San Francisco
1389,entreprise-facile,2.309184,48.858472,"{'type': 'Point', 'coordinates': [2.309184, 48.858472]}",1,enterprise,5,2007.0,0.0,Paris
1390,NetSpend,-97.7428,30.2667,"{'type': 'Point', 'coordinates': [-97.7428, 30.2667]}",1,other,300,1999.0,5330000.0,Austin
1391,LabPixies,34.7595,32.0554,"{'type': 'Point', 'coordinates': [34.7595, 32.0554]}",1,web,10,2006.0,1000000.0,Tel Aviv
1392,Zulu Creative,-1.830892,52.588545,"{'type': 'Point', 'coordinates': [-1.830892, 52.588545]}",1,advertising,10,2002.0,0.0,West Midlands
1393,Intacct,-121.89053,37.332948,"{'type': 'Point', 'coordinates': [-121.89053, 37.332948]}",1,enterprise,150,1999.0,64800000.0,San Jose
1394,TradingUp Online,-73.992544,40.752404,"{'type': 'Point', 'coordinates': [-73.992544, 40.752404]}",1,advertising,7,2007.0,0.0,New York
1395,Making Sense,-98.43676,29.516352,"{'type': 'Point', 'coordinates': [-98.43676, 29.516352]}",3,software,100,2006.0,0.0,San Antonio
1396,Norada,-114.0788979,51.0460135,"{'type': 'Point', 'coordinates': [-114.0788979, 51.0460135]}",1,enterprise,8,2008.0,0.0,Calgary
1397,Boxee,34.7595,32.0554,"{'type': 'Point', 'coordinates': [34.7595, 32.0554]}",2,software,45,2004.0,26500000.0,Tel Aviv
1398,WhatYah!,147.196096,-41.565586,"{'type': 'Point', 'coordinates': [147.196096, -41.565586]}",1,games_video,2,2006.0,0.0,Perth
1399,Bambuser,18.064488,59.332788,"{'type': 'Point', 'coordinates': [18.064488, 59.332788]}",1,mobile,12,2007.0,2500000.0,Stockholm
1400,NeighborCity,-122.412214,37.775392,"{'type': 'Point', 'coordinates': [-122.412214, 37.775392]}",1,web,15,2007.0,0.0,San Francisco
1401,GARA Web Hosting,-83.126814,42.585951,"{'type': 'Point', 'coordinates': [-83.126814, 42.585951]}",1,web,480,2006.0,0.0,Troy
1402,MakeFive,-123.1101383,49.2839417,"{'type': 'Point', 'coordinates': [-123.1101383, 49.2839417]}",1,other,2,2007.0,0.0,"Vancouver, BC"
1403,iMediaBlitz,77.181639,28.642933,"{'type': 'Point', 'coordinates': [77.181639, 28.642933]}",1,advertising,20,2005.0,0.0,Delhi
1404,SRA International,-77.379474,38.863995,"{'type': 'Point', 'coordinates': [-77.379474, 38.863995]}",1,consulting,6400,1978.0,0.0,Fairfax
1405,Bankaholic,-118.10529,34.122322,"{'type': 'Point', 'coordinates': [-118.10529, 34.122322]}",1,web,3,2006.0,0.0,San Marino
1406,EMAS Pro,-117.271461,32.842958,"{'type': 'Point', 'coordinates': [-117.271461, 32.842958]}",2,software,45,1997.0,0.0,La Jolla
1407,GeoMe,2.168518,41.387411,"{'type': 'Point', 'coordinates': [2.168518, 41.387411]}",1,mobile,6,2007.0,338549.99998969113,Barcelona
1408,Frequent Flyer Network,-104.722932,38.861035,"{'type': 'Point', 'coordinates': [-104.722932, 38.861035]}",1,web,25,1995.0,0.0,Colorado Springs
1409,Louis Vuitton,2.30069,48.871976,"{'type': 'Point', 'coordinates': [2.30069, 48.871976]}",1,other,9671,1854.0,0.0,Paris
1410,Aspect Software,-71.3277854,42.6005604,"{'type': 'Point', 'coordinates': [-71.3277854, 42.6005604]}",1,software,2000,1973.0,0.0,Chelmsford
